Agency Name,State Name [District] Latest available year,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,State Agency ID [District] 2016-17
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,Absecon Public Schools District,3400660,NJ-010010
ACADEMY CHARTER HIGH SCHOOL,New Jersey,Academy Charter High School,3400048,NJ-806010
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,Academy for Urban Leadership Charter School,3400741,NJ-806032
ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,New Jersey,Alexandria Township School District,3400690,NJ-190020
ALLAMUCHY TOWNSHIP SCHOOL DISTRICT,New Jersey,Allamuchy Township School District,3400720,NJ-410030
ALLENDALE PUBLIC SCHOOL DISTRICT,New Jersey,ALLENDALE PUBLIC SCHOOL DISTRICT,3400750,NJ-030040
ALLOWAY TWP SCHOOL DISTRICT,New Jersey,ALLOWAY TWP SCHOOL DISTRICT,3400810,NJ-330060
ALPHA BOROUGH SCHOOL DISTRICT,New Jersey,Alpha Borough School District;3400840;NJ-410070
ALPINE SCHOOL DISTRICT,New Jersey,Alpine Elementary School District,3400870,NJ-030080
ANDOVER REGIONAL SCHOOL DISTRICT,New Jersey,Andover Regional School District,3400900,NJ-370090
AREA VOCATIONAL TECHNICAL SCHOOLS OF MERCER COUNTY,New Jersey,Area Vocational Technical Schools of Mercer County,3409950,NJ-213105
ASBURY PARK SCHOOL DISTRICT,New Jersey,Asbury Park School District,3400930,NJ-250100
ATLANTIC CITY SCHOOL DISTRICT,New Jersey,Atlantic City School District,3400960,NJ-010110
ATLANTIC COMMUNITY CHARTER SCHOOL,NEW JERSEY,Atlantic Community Charter School,3400771,NJ-806060
ATLANTIC COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,Atlantic County Special Services School District,3400006,NJ-010125
ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,New Jersey,Atlantic County Vocational School District,3400990,NJ-010120
ATLANTIC HIGHLANDS SCHOOL DISTRICT,New Jersey,Atlantic Highlands School District,3401020,NJ-250130
AUDUBON PUBLIC SCHOOL DISRICT,New Jersey,Audubon Public School Disrict,3401050,NJ-070150
AVALON SCHOOL DISTRICT,New Jersey,AVALON SCHOOL DISTRICT,3401110,NJ-090170
AVON BORO SCHOOL DISTRICT,New Jersey,AVON BORO SCHOOL DISTRICT,3401140,NJ-250180
BARNEGAT TOWNSHIP SCHOOL DISTRICT,New Jersey,Barnegat Township School District,3416470,NJ-290185
BARRINGTON SCHOOL DISTRICT,New Jersey,BARRINGTON SCHOOL DISTRICT,3401170,NJ-070190
BASS RIVER TOWNSHIP BOARD OF EDUCATION,New Jersey,BASS RIVER TOWNSHIP BOARD OF EDUCATION,3401200,NJ-050200
BAY HEAD BOROUGH SCHOOL DISTRICT,New Jersey,Bay Head Borough School District,3401230,NJ-290210
BAYONNE SCHOOL DISTRICT,New Jersey,Bayonne School District,3401260,NJ-170220
BAYSHORE JOINTURE COMMISSION SCHOOL DISTRICT,New Jersey,Bayshore Jointure Commission,3400069,NJ-250225
BEACH HAVEN SCHOOL DISTRICT,New Jersey,Beach Haven School District,3401290,NJ-290230
BEDMINSTER TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Bedminster Township Public School,3401320,NJ-350240
BELLEVILLE PUBLIC SCHOOL DISTRICT,New Jersey,BELLEVILLE PUBLIC SCHOOLS,3401350,NJ-130250
BELLMAWR PUBLIC SCHOOL DISTRICT,New Jersey,BELLMAWR PUBLIC SCHOOL DISTRICT,3401380,NJ-070260
BELMAR ELEMENTARY SCHOOL DISTRICT,New Jersey,Belmar Elementary School District,3401410,NJ-250270
BELOVED COMMUNITY CHARTER SCHOOL,New Jersey,BelovED Community Charter School,3400759,NJ-806082
BELVIDERE SCHOOL DISTRICT,New Jersey,BELVIDERE SCHOOL DISTRICT,3401440,NJ-410280
BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,New Jersey,Benjamin Banneker Preparatory Charter School,3400744,NJ-806076
BERGEN ARTS AND SCIENCE CHARTER SCHOOL,New Jersey,Bergen Arts and Science Charter School,3400715,NJ-806013
BERGEN COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,Bergen County Special Services School District,3401450,NJ-030285
BERGEN COUNTY VOCATIONAL TECHNICAL SCHOOL DISTRICT,New Jersey,Bergen County Vocational Technical School District,3401470,NJ-030290
BERGENFIELD BOROUGH SCHOOL DISTRICT,New Jersey,Bergenfield Borough School District,3401500,NJ-030300
BERKELEY HEIGHTS SCHOOL DISTRICT,New Jersey,BERKELEY HEIGHTS SCHOOL DISTRICT,3401530,NJ-390310
BERKELEY TOWNSHIP SCHOOL DISTRICT,New Jersey,Berkeley Township School District,3401560,NJ-290320
BERLIN BOROUGH SCHOOL DISTRICT,New Jersey,Berlin Borough School District,3401590,NJ-070330
BERLIN TOWNSHIP SCHOOL DISTRICT,New Jersey,Berlin Township School District,3401620,NJ-070340
BERNARDS TOWNSHIP SCHOOL DISTRICT,New Jersey,Bernards Township School District,3401650,NJ-350350
BETHLEHEM TOWNSHIP SCHOOL DISTRICT,New Jersey,Bethlehem Township School District,3401710,NJ-190370
BEVERLY CITY SCHOOL,New Jersey,BEVERLY CITY SCHOOL,3401740,NJ-050380
BLACK HORSE PIKE REGIONAL SCHOOL DISTRICT,New Jersey,Black Horse Pike Regional School District,3401770,NJ-070390
BLAIRSTOWN ELEMENTARY TOWNSHIP SCHOOL DISTRICT,New Jersey,Blairstown Elementary Township School District,3401800,NJ-410400
BLOOMFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,BLOOMFIELD TOWNSHIP SCHOOL DISTRICT,3401830,NJ-130410
BLOOMINGDALE SCHOOL DISTRICT,New Jersey,Bloomingdale School District,3401860,NJ-310420
BLOOMSBURY BOROUGH SCHOOL DISTRICT,New Jersey,Bloomsbury School District,3401890,NJ-190430
BOGOTA PUBLIC SCHOOL DISTRICT,New Jersey,Bogota Public School District,3401920,NJ-030440
BOONTON TOWN SCHOOL DISTRICT,New Jersey,Boonton Town School District,3401950,NJ-270450
BOONTON TOWNSHIP SCHOOL DISTRICT,New Jersey,Boonton Township School District,3401980,NJ-270460
BORDENTOWN REGIONAL SCHOOL DISTRICT,New Jersey,Bordentown Regional School District,3402030,NJ-050475
BOUND BROOK SCHOOL DISTRICT,New Jersey,BOUND BROOK SCHOOL DISTRICT,3402100,NJ-350490
BRADLEY BEACH SCHOOL DISTRICT,New Jersey,Bradley Beach Elementary School District,3402130,NJ-250500
BRANCHBURG TOWNSHIP SCHOOL DISTRICT,New Jersey,BRANCHBURG TOWNSHIP School District,3402160,NJ-350510
BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Brick Township Public School District,3402220,NJ-290530
BRIDGETON CITY SCHOOL DISTRICT,New Jersey,Bridgeton City School District,3402250,NJ-110540
BRIDGETON PUBLIC CHARTER SCHOOL,NEW JERSEY,Bridgeton Public Charter School,3400782,NJ-806100
BRIDGEWATER-RARITAN REGIONAL SCHOOL DISTRICT,New Jersey,BRIDGEWATER-RARITAN REGIONAL SCHOOL DISTRICT,3402280,NJ-350555
BRIELLE BORO SCHOOL DISTRICT,New Jersey,BRIELLE BORO SCHOOL DISTRICT,3402310,NJ-250560
BRIGANTINE PUBLIC SCHOOL DISTRICT,New Jersey,Brigantine Public School District,3402340,NJ-010570
BROOKLAWN PUBLIC SCHOOL DISTRICT,New Jersey,BROOKLAWN PUBLIC SCHOOL DISTRICT,3402370,NJ-070580
BUENA REGIONAL SCHOOL DISTRICT,New Jersey,BUENA REGIONAL SCHOOL DISTRICT,3402400,NJ-010590
BURCH CHARTER SCHOOL OF EXCELLENCE,New Jersey,Burch Charter School of Excellence,3400724,NJ-806022
BURLINGTON CITY PUBLIC SCHOOL DISTRICT,New Jersey,Burlington City Public School District,3402430,NJ-050600
BURLINGTON COUNTY INSTITUTE OF TECHNOLOGY SCHOOL DISTRICT,New Jersey,BURLINGTON COUNTY INSTITUTE OF TECHNOLOGY,3402490,NJ-050610
BURLINGTON COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,BURLINGTON COUNTY SPECIAL SERVICES SCHOOL DISTRICT,3402440,NJ-050605
BURLINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,BURLINGTON TOWNSHIP BOARD OF EDUCATION,3402460,NJ-050620
BUTLER PUBLIC SCHOOL DISTRICT,New Jersey,Butler Public School District,3402520,NJ-270630
BYRAM TOWNSHIP SCHOOL DISTRICT,New Jersey,Byram Township School District,3402550,NJ-370640
CALDWELL-WEST CALDWELL SCHOOL DISTRICT,New Jersey,CALDWELL-WEST CALDWELL SCHOOL DISTRICT,3402580,NJ-130660
CALIFON BOROUGH SCHOOL DISTRICT,New Jersey,Califon Borough School District,3402610,NJ-190670
CAMDEN CITY SCHOOL DISTRICT,New Jersey,CAMDEN CITY PUBLIC SCHOOLS,3402640,NJ-070680
CAMDEN COMMUNITY CHARTER SCHOOL,New Jersey,Camden Community Charter School,3400768,NJ-806063
CAMDEN COUNTY EDUCATIONAL SERVICES COMMISSION,New Jersey,CAMDEN COUNTY EDUCATIONAL SERVICES COMMISSION,3480340,NJ-070695
CAMDEN COUNTY TECHNICAL SCHOOL DISTRICT,New Jersey,Camden County Technical School District,3402670,NJ-070700
CAMDEN PREP INC.,NEW JERSEY,Camden Prep  Inc.,3400776,NJ-071801
CAMDEN'S PROMISE CHARTER SCHOOL,NEW JERSEY,Camdens Promise Charter School,3400785,NJ-806107
CAPE MAY CITY SCHOOL DISTRICT,New Jersey,CAPE MAY CITY SCHOOL DISTRICT,3402700,NJ-090710
CAPE MAY COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,Cape May County Special Services School District,3402740,NJ-090715
CAPE MAY COUNTY TECHNICAL HIGH SCHOOL DISTRICT,New Jersey,Cape May County Technical High School District,3402730,NJ-090720
CARLSTADT PUBLICSCHOOL DISTRICT,New Jersey,CARLSTADT PUBLIC SCHOOL DISTRICT,3402790,NJ-030740
CARLSTADT-EAST RUTHERFORD REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Carlstadt-East Rutherford Regional High School District,3402800,NJ-030745
CARTERET PUBLIC SCHOOL DISTRICT,New Jersey,Carteret Public School District,3402820,NJ-230750
CEDAR GROVE TOWNSHIP SCHOOL DISTRICT,New Jersey,CEDAR GROVE TOWNSHIP SCHOOL DISTRICT,3402850,NJ-130760
CENTRAL JERSEY COLLEGE PREP CHARTER SCHOOL,New Jersey,CENTRAL JERSEY COLLEGE PREP CHARTER SCHOOL,3400090,NJ-806018
CENTRAL REGIONAL SCHOOL DISTRICT,New Jersey,Central Regional School District,3402910,NJ-290770
CHARTERTECH HIGH SCHOOL FOR THE PERFORMING ARTS,New Jersey,Chartertech High School for the Performing Arts,3400019,NJ-807410
CHERRY HILL SCHOOL DISTRICT,New Jersey,Cherry Hill School District,3403000,NJ-070800
CHESTER SCHOOL DISTRICT,New Jersey,CHESTER SCHOOL DISTRICT,3403060,NJ-270820
CHESTERFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,Chesterfield Township School District,3403090,NJ-050830
CINNAMINSON TOWNSHIP SCHOOL DISTRICT,New Jersey,CINNAMINSON TOWNSHIP PUBLIC SCHOOLS,3403120,NJ-050840
CLARK TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Clark Township Public Schools,3403150,NJ-390850
CLASSICAL ACADEMY CHARTER SCHOOL OF CLIFTON,New Jersey,The Classical Academy Charter School of Clifton Inc.,3400052,NJ-806230
CLAYTON PUBLIC SCHOOL DISTRICT,New Jersey,CLAYTON PUBLIC SCHOOL DISTRICT,3403180,NJ-150860
CLEARVIEW REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Clearview Regional High School District,3403210,NJ-150870
CLEMENTON ELEMENTARY SCHOOL DISTRICT,New Jersey,Clementon Elementary School District,3403240,NJ-070880
CLIFFSIDE PARK SCHOOL DISTRICT,New Jersey,CLIFFSIDE PARK SCHOOL DISTRICT,3403270,NJ-030890
CLIFTON PUBLIC SCHOOL DISTRICT,New Jersey,Clifton Public School District,3403300,NJ-310900
CLINTON TOWNSHIP SCHOOL DISTRICT,New Jersey,Clinton Township School District,3403360,NJ-190920
CLINTON-GLEN GARDNER SCHOOL DISTRICT,New Jersey,Clinton-Glen Gardner School District,3403330,NJ-190910
CLOSTER PUBLIC SCHOOL DISTRICT,New Jersey,CLOSTER PUBLIC SCHOOL DISTRICT,3403390,NJ-030930
COLLEGE ACHIEVE CENTRAL CHARTER SCHOOL,NEW JERSEY,College Achieve Central Charter School,3400779,NJ-806101
COLLINGSWOOD PUBLIC SCHOOL DISTRICT,New Jersey,Collingswood Public School District,3403420,NJ-070940
COLTS NECK TOWNSHIP SCHOOL DISTRICT,New Jersey,Colts Neck Township School District,3403450,NJ-250945
COMMERCIAL TOWNSHIP SCHOOL DISTRICT,New Jersey,Commercial Township School District,3403480,NJ-110950
COMMUNITY CHARTER SCHOOL OF PATERSON,New Jersey,Community Charter School of Paterson,3400718,NJ-806021
COMPASS ACADEMY CHARTER SCHOOL,New Jersey,Compass Academy Charter School,3400766,NJ-806089
CRANBURY TOWNSHIP SCHOOL DISTRICT,New Jersey,Cranbury Township School District,3403540,NJ-230970
CRANFORD PUBLIC SCHOOL DISTRICT,New Jersey,Cranford Public School District,3403570,NJ-390980
CRESSKILL PUBLIC SCHOOL DISTRICT,New Jersey,Cresskill Public School District,3403600,NJ-030990
CRESTHAVEN ACADEMY CHARTER SCHOOL,NEW JERSEY,Cresthaven Academy Charter School,3400786,NJ-806102
CUMBERLAND COUNTY BOARD OF VOCATIONAL EDUCATION,New Jersey,CUMBERLAND COUNTY BOARD OF VOCATIONAL ED SCHOOL DISTRICT,3403610,NJ-110995
CUMBERLAND REGIONAL SCHOOL DISTRICT,New Jersey,CUMBERLAND REGIONAL SCHOOL DISTRICT,3403620,NJ-110997
DEAL BORO SCHOOL DISTRICT,New Jersey,DEAL BORO SCHOOL DISTRICT,3403630,NJ-251000
DEERFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,DEERFIELD TOWNSHIP SCHOOL DISTRICT,3403660,NJ-111020
DELANCO TOWNSHIP SCHOOL DISTRICT,New Jersey,Delanco Township School District,3403690,NJ-051030
DELAWARE TOWNSHIP SCHOOL DISTRICT,New Jersey,Delaware Township School District,3403720,NJ-191040
DELAWARE VALLEY REGIONAL HIGH SCHOOL DISTRICT,New Jersey,DELAWARE VALLEY REGIONAL HIGH SCHOOL DISTRICT,3403750,NJ-191050
DELRAN TOWNSHIP SCHOOL DISTRICT,New Jersey,Delran Township School District,3403780,NJ-051060
DELSEA REGIONAL HIGH SCHOOL DISTRICT,New Jersey,DELSEA REGIONAL HIGH SCHOOL DISTRICT,3415450,NJ-154940
DEMAREST SCHOOL DISTRICT,New Jersey,Demarest School District,3403810,NJ-031070
DENNIS TOWNSHIP SCHOOL DISTRICT,New Jersey,DENNIS TOWNSHIP SCHOOL DISTRICT,3403840,NJ-091080
DENVILLE TOWNSHIP K-8 SCHOOL DISTRICT,New Jersey,Denville Township K-8 School District,3403870,NJ-271090
DEPTFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Deptford Township Public School District,3403900,NJ-151100
DISCOVERY CHARTER SCHOOL,New Jersey,Discovery Charter School,3400020,NJ-806320
DOVER PUBLIC SCHOOL DISTRICT,New Jersey,Dover Public School District,3403930,NJ-271110
DOWNE TOWNSHIP SCHOOL DISTRICT,New Jersey,Downe Township School District,3403960,NJ-111120
DR LENA EDWARDS ACADEMIC CHARTER SCHOOL,New Jersey,Dr Lena Edwards Academic Charter School,3400756,NJ-806064
DUMONT PUBLIC SCHOOL DISTRICT,New Jersey,Dumont Public School District,3403990,NJ-031130
DUNELLEN PUBLIC SCHOOL DISTRICT,New Jersey,Dunellen Public School District,3404020,NJ-231140
EAGLESWOOD TOWNSHIP SCHOOL DISTRICT,New Jersey,Eagleswood Township School District,3404050,NJ-291150
EAST AMWELL TOWNSHIP SCHOOL DISTRICT,New Jersey,EAST AMWELL TOWNSHIP SCHOOL DISTRICT,3404080,NJ-191160
EAST BRUNSWICK TOWNSHIP SCHOOL DISTRICT,New Jersey,East Brunswick Township School District,3404110,NJ-231170
EAST GREENWICH TOWNSHIP SCHOOL DISTRICT,New Jersey,East Greenwich Township School District,3404140,NJ-151180
EAST HANOVER TOWNSHIP SCHOOL DISTRICT,New Jersey,East Hanover Township School District,3404170,NJ-271190
EAST NEWARK SCHOOL DISTRICT,New Jersey,East Newark School District,3404200,NJ-171200
EAST ORANGE COMMUNITY CHARTER SCHOOL,New Jersey,EAST ORANGE COMMUNITY CHARTER SCHOOL,3400021,NJ-806410
EAST ORANGE SCHOOL DISTRICT,New Jersey,East Orange School District,3404230,NJ-131210
EAST RUTHERFORD SCHOOL DISTRICT,New Jersey,East Rutherford School District,3404290,NJ-031230
EAST WINDSOR REGIONAL SCHOOL DISTRICT,New Jersey,EAST WINDSOR REGIONAL SCHOOL DISTRICT,3404320,NJ-211245
EASTAMPTON TOWNSHIP SCHOOL DISTRICT,New Jersey,Eastampton Township School District,3404350,NJ-051250
EASTERN CAMDEN COUNTY REGIONAL SCHOOL DISTRICT,New Jersey,EASTERN CAMDEN COUNTY REGIONAL SCHOOL DISTRICT,3404380,NJ-071255
EATONTOWN PUBLIC SCHOOL DISTRICT,New Jersey,Eatontown Public School District,3404410,NJ-251260
EDGEWATER PARK TOWNSHIP SCHOOL DISTRICT,New Jersey,Edgewater Park Township School District,3404470,NJ-051280
EDGEWATER SCHOOL DISTRICT,New Jersey,Edgewater School District,3404440,NJ-031270
EDISON TOWNSHIP SCHOOL DISTRICT,New Jersey,Edison Township School District,3404500,NJ-231290
EDUCATIONAL INFORMATION AND RESOURCE CENTER,New Jersey,Educational Information and Resource Center,3400062,NJ-151295
EDUCATIONAL SERVICES COMMISSION OF MORRIS COUNTY,New Jersey,Educational Services Commission of Morris County,3480260,NJ-273364
EDUCATIONAL SERVICES COMMISSION OF NEW JERSEY,New Jersey,Educational Services Commission of New Jersey,3480180,NJ-233145
EGG HARBOR CITY SCHOOL DISTRICT,New Jersey,EGG HARBOR CITY SCHOOL DISTRICT,3404530,NJ-011300
EGG HARBOR TOWNSHIP SCHOOL DISTRICT,New Jersey,Egg Harbor Township School District,3404560,NJ-011310
ELIZABETH PUBLIC SCHOOLS,New Jersey,Elizabeth Public Schools,3404590,NJ-391320
ELK TOWNSHIP SCHOOL DISTRICT,New Jersey,Elk Township School District,3404620,NJ-151330
ELMWOOD PARK SCHOOL DISTRICT,New Jersey,Elmwood Park School District,3404660,NJ-031345
ELSINBORO TOWNSHIP SCHOOL DISTRICT,New Jersey,Elsinboro Township School District,3404680,NJ-331350
ELYSIAN CHARTER SCHOOL,New Jersey,Elysian Charter School,3400029,NJ-806420
EMERSON PUBLIC SCHOOL DISTRICT,New Jersey,Emerson Public School District,3404710,NJ-031360
EMPOWERMENT ACADEMY CHARTER SCHOOL,NEW JERSEY,Empowerment Academy Charter School,3400781,NJ-806103
ENGLEWOOD CLIFFS SCHOOL DISTRICT,New Jersey,Englewood Cliffs School District,3404770,NJ-031380
ENGLEWOOD ON THE PALISADES CHARTER SCHOOL,New Jersey,Englewood on the Palisades Charter School,3400014,NJ-806430
ENGLEWOOD PUBLIC SCHOOL DISTRICT,New Jersey,Englewood Public School District,3404740,NJ-031370
ENVIRONMENT COMMUNITY OPPORTUNITY (ECO) CHARTER SCHOOL,New Jersey,Environment Community Opportunity (ECO) Charter School,3400079,NJ-806232
ESSEX COUNTY SCHOOLS OF TECHNOLOGY,New Jersey,Essex County Vocational Technical School District,3404800,NJ-131390
ESSEX FELLS SCHOOL DISTRICT,New Jersey,ESSEX FELLS SCHOOL DISTRICT,3404830,NJ-131400
ESSEX REGIONAL EDUCATIONAL SERVICES COMMISSION,New Jersey,ESSEX REGIONAL EDUCATIONAL SERVICES COMMISSION,3480300,NJ-131387
ESTELL MANOR SCHOOL DISTRICT,New Jersey,ESTELL MANOR CITY SCHOOL DISTRICT,3404860,NJ-011410
EVESHAM TOWNSHIP SCHOOL DISTRICT,New Jersey,Evesham Township School District,3404890,NJ-051420
EWING TOWNSHIP SCHOOL DISTRICT,New Jersey,Ewing Township School District,3404920,NJ-211430
FAIR HAVEN SCHOOL DISTRICT,New Jersey,Fair Haven School District,3404950,NJ-251440
FAIR LAWN PUBLIC SCHOOL DISTRICT,New Jersey,Fair Lawn Public School District,3404980,NJ-031450
FAIRFIELD PUBLIC SCHOOLS SCHOOL DISTRICT,New Jersey,Fairfield Public Schools School District,3405010,NJ-131465
FAIRFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,Fairfield Township School District,3405040,NJ-111460
FAIRVIEW PUBLIC SCHOOL DISTRICT,New Jersey,Fairview Public School District,3405070,NJ-031470
FARMINGDALE PUBLIC SCHOOL DISTRICT,New Jersey,Farmingdale Public School District,3405130,NJ-251490
FLEMINGTON-RARITAN REGIONAL SCHOOL DISTRICT,New Jersey,Flemington-Raritan Regional School District,3405190,NJ-191510
FLORENCE TOWNSHIP SCHOOL DISTRICT,New Jersey,Florence Township School District,3405220,NJ-051520
FLORHAM PARK SCHOOL DISTRICT,New Jersey,FLORHAM PARK PUBLIC SCHOOLS,3405250,NJ-271530
FOLSOM BOROUGH SCHOOL DISTRICT,New Jersey,Folsom Borough School District,3405280,NJ-011540
FORT LEE SCHOOL DISTRICT,New Jersey,Fort Lee School District,3405310,NJ-031550
FOUNDATION ACADEMY CHARTER SCHOOL,New Jersey,Foundation Academy Charter School,3400717,NJ-806017
FRANKFORD TOWNSHIP CONSOLIDATED SCHOOL DISTRICT,New Jersey,Frankford Township Consolidated School District,3405340,NJ-371560
FRANKLIN BOROUGH SCHOOL DISTRICT,New Jersey,Franklin Borough School District,3405400,NJ-371570
FRANKLIN LAKES SCHOOL DISTRICT,New Jersey,FRANKLIN LAKES  SCHOOL DISTRICT,3405370,NJ-031580
FRANKLIN TOWNSHIP SCHOOL DISTRICT,New Jersey,Franklin Township School District,3405520,NJ-411620
FRANKLIN TOWNSHIP SCHOOL DISTRICT,New Jersey,Franklin Township School District,3405460,NJ-191600
FRANKLIN TOWNSHIP SCHOOL DISTRICT,New Jersey,Franklin Township Public School District,3405490,NJ-351610
FREDON TOWNSHIP SCHOOL DISTRICT,New Jersey,FREDON TOWNSHIP SCHOOL DISTRICT,3405550,NJ-371630
FREEDOM PREP CHARTER SCHOOL,New Jersey,Freedom Prep Charter School,3400080,NJ-806240
FREEHOLD BOROUGH SCHOOL DISTRICT,New Jersey,Freehold Borough School District,3405580,NJ-251640
FREEHOLD REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Freehold Regional High School District,3405610,NJ-251650
FREEHOLD TOWNSHIP SCHOOL DISTRICT,New Jersey,Freehold Township School District,3405640,NJ-251660
FRELINGHUYSEN TOWNSHIP SCHOOL DISTRICT,New Jersey,FRELINGHUYSEN TOWNSHIP SCHOOL DISTRICT,3405670,NJ-411670
FRENCHTOWN BOROUGH SCHOOL DISTRICT,New Jersey,Frenchtown Borough School District,3405700,NJ-191680
GALLOWAY TOWNSHIP PUBLIC SCHOOLS,New Jersey,GALLOWAY TOWNSHIP PUBLIC SCHOOLS,3405730,NJ-011690
GARFIELD PUBLIC SCHOOL DISTRICT,New Jersey,GARFIELD PUBLIC SCHOOL DISTRICT,3405760,NJ-031700
GARWOOD BORO,New Jersey,Garwood Boro,3405790,NJ-391710
GATEWAY REGIONAL HIGH SCHOOL DISTRICT,New Jersey,GATEWAY REGIONAL SCHOOL DISTRICT,3405820,NJ-151715
GIBBSBORO ELEMENTARY SCHOOL DISTRICT,New Jersey,Gibbsboro Elementary School,3405850,NJ-071720
GLASSBORO SCHOOL DISTRICT,New Jersey,Glassboro School District,3405880,NJ-151730
GLEN RIDGE PUBLIC SCHOOL DISTRICT,New Jersey,Glen Ridge Public School District,3405940,NJ-131750
GLEN ROCK PUBLIC SCHOOL DISTRICT,New Jersey,GLEN ROCK PUBLIC SCHOOL DISTRICT,3405970,NJ-031760
GLOUCESTER CITY PUBLIC SCHOOL DISTRICT,New Jersey,Gloucester City Public School District,3406000,NJ-071770
GLOUCESTER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,Gloucester County Special Services School District,3480363,NJ-151774
GLOUCESTER COUNTY VOCATIONAL-TECHNICAL SCHOOL DISTRICT,New Jersey,Gloucester County Vocational-Technical School District,3406040,NJ-151775
GLOUCESTER TOWNSHIP PUBLIC SCHOOLS,New Jersey,GLOUCESTER TOWNSHIP SCHOOL DISTRICT,3406030,NJ-071780
GRAY CHARTER SCHOOL,New Jersey,Gray Charter School,3400064,NJ-806665
GREAT FUTURES CHARTER SCHOOL,NEW JERSEY,Great Futures Charter School,3400774,NJ-806184
GREAT MEADOWS REGIONAL SCHOOL DISTRICT,New Jersey,GREAT MEADOWS REGIONAL SCHOOL DISTRICT,3400008,NJ-411785
GREAT OAKS LEGACY CHARTER SCHOOL,New Jersey,Great Oaks Legacy Charter School,3400751,NJ-806053
GREATER BRUNSWICK CHARTER SCHOOL,New Jersey,Greater Brunswick Charter School,3400047,NJ-806635
GREATER EGG HARBOR REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Greater Egg Harbor Regional High School District,3406060,NJ-011790
GREEN BROOK TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Green Brook Township Public School District,3406120,NJ-351810
GREEN TOWNSHIP SCHOOL DISTRICT,New Jersey,Green Township School District,3406090,NJ-371800
GREENWICH TOWNSHIP SCHOOL DISTRICT,New Jersey,Greenwich Township School District,3406180,NJ-151830
GREENWICH TOWNSHIP SCHOOL DISTRICT,New Jersey,GREENWICH TOWNSHIP SCHOOL DISTRICT,3406150,NJ-111820
GREENWICH TOWNSHIP SCHOOL DISTRICT,New Jersey,Greenwich Township School District,3406210,NJ-411840
GUTTENBERG SCHOOL DISTRICT,New Jersey,GUTTENBERG SCHOOL DISTRICT,3406240,NJ-171850
HACKENSACK SCHOOL DISTRICT,New Jersey,Hackensack School District,3406270,NJ-031860
HACKETTSTOWN PUBLIC SCHOOL DISTRICT,New Jersey,Hackettstown Public School District,3406300,NJ-411870
HADDON HEIGHTS SCHOOL DISTRICT,New Jersey,HADDON HEIGHTS School District,3406330,NJ-071880
